T,P,NaCl,xH2S,yH2O,r,H2O,H2S
298.15,1,0,0.00153,0.03205,1004.24,-0.0133,-0.0072
298.15,5,0,0.00791,0.00662,1004.47,-0.0678,-0.0364
298.15,10,0,0.01604,0.00345,1004.7,-0.139,-0.074
298.15,20,0,0.03274,0.0019,1005,-0.2956,-0.1532
298.15,30,0,0.0329,0.00142,1005.08,-0.4863,-0.2403
298.15,40,0,0.03315,0.01174,1006.09,-3.4688,-0.775
298.15,50,0,0.0333,0.01183,1006.64,-3.6902,-0.9806
298.15,60,0,0.03346,0.01192,1007.18,-3.8706,-1.1454
298.15,70,0,0.03362,0.012,1007.73,-4.0226,-1.2822
298.15,80,0,0.03377,0.01208,1008.27,-4.1538,-1.3984
298.15,90,0,0.03392,0.01215,1008.81,-4.2691,-1.499
298.15,100,0,0.03407,0.01223,1009.35,-4.3718,-1.5872
298.15,120,0,0.03436,0.01237,1010.42,-4.5483,-1.7355
298.15,140,0,0.03464,0.0125,1011.49,-4.6961,-1.8559
298.15,160,0,0.03491,0.01262,1012.56,-4.8228,-1.956
298.15,180,0,0.03518,0.01273,1013.62,-4.9333,-2.0405
298.15,200,0,0.03544,0.01284,1014.67,-5.031,-2.1129
298.15,250,0,0.03608,0.01309,1017.28,-5.2335,-2.2545
298.15,300,0,0.03668,0.01331,1019.86,-5.3934,-2.3566
298.15,350,0,0.03725,0.01351,1022.41,-5.5238,-2.4317
298.15,400,0,0.0378,0.01368,1024.92,-5.6323,-2.4871
298.15,450,0,0.03832,0.01384,1027.41,-5.7241,-2.5278
298.15,500,0,0.03883,0.01399,1029.87,-5.8028,-2.5568
298.15,550,0,0.03931,0.01412,1032.3,-5.8706,-2.5766
298.15,600,0,0.03978,0.01424,1034.7,-5.9296,-2.5889
298.15,1,1,0.00133,0.03098,1039.13,-0.0133,-0.0072
298.15,5,1,0.00685,0.0064,1039.02,-0.0678,-0.0364
298.15,10,1,0.01382,0.00334,1038.84,-0.139,-0.074
298.15,20,1,0.02788,0.00183,1038.39,-0.2956,-0.1532
298.15,30,1,0.0279,0.00137,1037.83,-0.4863,-0.2403
298.15,40,1,0.02824,0.01125,1039.49,-3.4688,-0.775
298.15,50,1,0.02837,0.01133,1040.05,-3.6902,-0.9806
298.15,60,1,0.0285,0.01141,1040.6,-3.8706,-1.1454
298.15,70,1,0.02863,0.01149,1041.15,-4.0226,-1.2822
298.15,80,1,0.02876,0.01156,1041.7,-4.1538,-1.3984
298.15,90,1,0.02889,0.01163,1042.25,-4.2691,-1.499
298.15,100,1,0.02901,0.0117,1042.8,-4.3718,-1.5872
298.15,120,1,0.02925,0.01184,1043.89,-4.5483,-1.7355
298.15,140,1,0.02949,0.01196,1044.97,-4.6961,-1.8559
298.15,160,1,0.02972,0.01207,1046.05,-4.8228,-1.956
298.15,180,1,0.02995,0.01218,1047.13,-4.9333,-2.0405
298.15,200,1,0.03017,0.01229,1048.2,-5.031,-2.1129
298.15,250,1,0.0307,0.01252,1050.85,-5.2335,-2.2545
298.15,300,1,0.03121,0.01273,1053.48,-5.3934,-2.3566
298.15,350,1,0.03169,0.01291,1056.07,-5.5238,-2.4317
298.15,400,1,0.03215,0.01308,1058.63,-5.6323,-2.4871
298.15,450,1,0.03259,0.01322,1061.17,-5.7241,-2.5278
298.15,500,1,0.03302,0.01336,1063.67,-5.8028,-2.5568
298.15,550,1,0.03343,0.01348,1066.15,-5.8706,-2.5766
298.15,600,1,0.03382,0.01359,1068.59,-5.9296,-2.5889
298.15,1,2,0.00117,0.02985,1071.89,-0.0133,-0.0072
298.15,5,2,0.00602,0.00617,1071.56,-0.0678,-0.0364
298.15,10,2,0.0121,0.00322,1071.12,-0.139,-0.074
298.15,20,2,0.02419,0.00177,1070.2,-0.2956,-0.1532
298.15,30,2,0.0243,0.00132,1069.27,-0.4863,-0.2403
298.15,40,2,0.0245,0.01074,1071.32,-3.4688,-0.775
