T,P,NaCl,xH2S,yH2O,r,H2O,H2S
298.15,1,0,0.00049,0.03205,1004.5,-0.0125,-0.0045
298.15,5,0,0.00247,0.00662,1005.7,-0.0632,-0.0227
298.15,10,0,0.00492,0.00345,1007.2,-0.1285,-0.0457
298.15,20,0,0.00963,0.00188,1010.2,-0.2671,-0.0928
298.15,30,0,0.01406,0.00138,1012.9,-0.4195,-0.1418
298.15,40,0,0.01813,0.00115,1015.5,-0.5925,-0.1928
298.15,50,0,0.02176,0.00104,1017.8,-0.8023,-0.2464
298.15,60,0,0.02483,0.00101,1019.9,-1.1266,-0.3016
298.15,70,0,0.02606,0.00282,1021.1,-3.2687,-0.3741
298.15,80,0,0.02638,0.00297,1021.8,-3.4272,-0.4847
298.15,90,0,0.02667,0.00309,1022.5,-3.5658,-0.5802
298.15,100,0,0.02695,0.00319,1023.1,-3.6887,-0.6637
298.15,120,0,0.02746,0.00335,1024.5,-3.8991,-0.8038
298.15,140,0,0.02792,0.00347,1025.8,-4.0743,-0.9171
298.15,160,0,0.02836,0.00358,1027.1,-4.2237,-1.011
298.15,180,0,0.02877,0.00367,1028.4,-4.3535,-1.09
298.15,200,0,0.02916,0.00374,1029.6,-4.4679,-1.1575
298.15,250,0,0.03005,0.0039,1032.7,-4.7035,-1.2887
298.15,300,0,0.03086,0.00402,1035.7,-4.8883,-1.3825
298.15,350,0,0.03159,0.00411,1038.7,-5.038,-1.4509
298.15,400,0,0.03226,0.00418,1041.6,-5.162,-1.5008
298.15,450,0,0.03289,0.00423,1044.4,-5.2664,-1.5368
298.15,500,0,0.03347,0.00427,1047.2,-5.3554,-1.562
298.15,550,0,0.03401,0.00431,1050,-5.432,-1.5786
298.15,600,0,0.03452,0.00434,1052.7,-5.4984,-1.5882
298.15,1,1,0.0004,0.03099,1039.4,-0.0125,-0.0045
298.15,5,1,0.00203,0.0064,1040.3,-0.0632,-0.0227
298.15,10,1,0.00403,0.00334,1041.4,-0.1285,-0.0457
298.15,20,1,0.00784,0.00182,1043.6,-0.2671,-0.0928
298.15,30,1,0.01139,0.00134,1045.6,-0.4195,-0.1418
298.15,40,1,0.01462,0.00111,1047.5,-0.5925,-0.1928
298.15,50,1,0.01747,0.00101,1049.2,-0.8023,-0.2464
298.15,60,1,0.01986,0.00097,1050.8,-1.1266,-0.3016
298.15,70,1,0.02081,0.00272,1051.7,-3.2687,-0.3741
298.15,80,1,0.02105,0.00286,1052.4,-3.4272,-0.4847
298.15,90,1,0.02128,0.00298,1053.1,-3.5658,-0.5802
298.15,100,1,0.02149,0.00307,1053.7,-3.6887,-0.6637
298.15,120,1,0.02188,0.00322,1055,-3.8991,-0.8038
298.15,140,1,0.02223,0.00334,1056.2,-4.0743,-0.9171
298.15,160,1,0.02256,0.00344,1057.5,-4.2237,-1.011
298.15,180,1,0.02288,0.00353,1058.7,-4.3535,-1.09
298.15,200,1,0.02317,0.0036,1059.9,-4.4679,-1.1575
298.15,250,1,0.02384,0.00375,1062.9,-4.7035,-1.2887
298.15,300,1,0.02444,0.00386,1065.8,-4.8883,-1.3825
298.15,350,1,0.02499,0.00395,1068.7,-5.038,-1.4509
298.15,400,1,0.02549,0.00401,1071.5,-5.162,-1.5008
298.15,450,1,0.02595,0.00406,1074.3,-5.2664,-1.5368
298.15,500,1,0.02637,0.00411,1077.1,-5.3554,-1.562
298.15,550,1,0.02677,0.00414,1079.8,-5.432,-1.5786
298.15,600,1,0.02714,0.00416,1082.4,-5.4984,-1.5882
298.15,1,2,0.00033,0.02986,1072.1,-0.0125,-0.0045
298.15,5,2,0.0017,0.00617,1072.8,-0.0632,-0.0227
298.15,10,2,0.00336,0.00322,1073.7,-0.1285,-0.0457
298.15,20,2,0.00653,0.00176,1075.3,-0.2671,-0.0928
298.15,30,2,0.00944,0.00129,1076.9,-0.4195,-0.1418
298.15,40,2,0.01207,0.00107,1078.4,-0.5925,-0.1928
298.15,50,2,0.01437,0.00097,1079.7,-0.8023,-0.2464
298.15,60,2,0.01628,0.00094,1080.9,-1.1266,-0.3016
298.15,70,2,0.01704,0.00261,1081.8,-3.2687,-0.3741
298.15,80,2,0.01723,0.00275,1082.4,-3.4272,-0.4847
298.15,90,2,0.01741,0.00286,1083,-3.5658,-0.5802
298.15,100,2,0.01757,0.00295,1083.7,-3.6887,-0.6637
298.15,120,2,0.01788,0.0031,1084.9,-3.8991,-0.8038
298.15,140,2,0.01816,0.00321,1086.1,-4.0743,-0.9171
298.15,160,2,0.01842,0.00331,1087.4,-4.2237,-1.011
298.15,180,2,0.01866,0.00339,1088.6,-4.3535,-1.09
298.15,200,2,0.01889,0.00346,1089.8,-4.4679,-1.1575
298.15,250,2,0.01942,0.0036,1092.7,-4.7035,-1.2887
298.15,300,2,0.01988,0.0037,1095.6,-4.8883,-1.3825
298.15,350,2,0.0203,0.00378,1098.5,-5.038,-1.4509
