T,P,NaCl,xH2S+xCO2,,,,
298.15,0,0,0.00E+00,,,,
298.15,15,0,0.0102825,,,,
298.15,28,0,0.0175263,,,,
298.15,35,0,0.0231073,,,,
298.15,50,0,0.0292051,,,,
298.15,65,0,0.0321971,,,,
298.15,100,0,0.0340767,,,,
298.15,150,0,0.0359,,,,
298.15,220,0,0.0377,,,,
298.15,280,0,0.0388,,,,
298.15,330,0,0.0397677,,,,
298.15,400,0,0.0408,,,,
298.15,460,0,0.0419268,,,,
298.15,530,0,0.0431347,,,,
298.15,600,0,0.0439751,,,,
298.15,0,1,0.00E+00,,,,
298.15,15,1,0.0089144,,,,
298.15,28,1,0.014,,,,
298.15,35,1,0.0162318,,,,
298.15,50,1,0.0216638,,,,
298.15,65,1,0.0248052,,,,
298.15,100,1,0.0262446,,,,
298.15,150,1,0.0280467,,,,
298.15,220,1,0.0295,,,,
298.15,280,1,0.030245,,,,
298.15,330,1,0.0311,,,,
298.15,400,1,0.0321081,,,,
298.15,460,1,0.0328015,,,,
298.15,530,1,0.0337523,,,,
298.15,600,1,0.0345527,,,,
298.15,0,2,0.00E+00,,,,
298.15,15,2,0.005,,,,
298.15,28,2,0.011,,,,
298.15,35,2,0.014,,,,
298.15,50,2,0.0180406,,,,
298.15,65,2,0.02,,,,
298.15,100,2,0.0221027,,,,
298.15,150,2,0.0230562,,,,
298.15,220,2,0.0239341,,,,
298.15,280,2,0.025,,,,
298.15,330,2,0.0256499,,,,
298.15,400,2,0.0263416,,,,
298.15,460,2,0.0267768,,,,
298.15,530,2,0.0273225,,,,
298.15,600,2,0.0278648,,,,
298.15,0,4,0.00E+00,,,,
298.15,15,4,0.005624,,,,
298.15,28,4,0.0099,,,,
298.15,35,4,0.012,,,,
298.15,50,4,0.015,,,,
298.15,65,4,0.016,,,,
298.15,100,4,0.0167,,,,
298.15,150,4,0.0173,,,,
298.15,220,4,0.018,,,,
298.15,280,4,0.0185,,,,
298.15,330,4,0.0188,,,,
298.15,400,4,0.0192024,,,,
298.15,460,4,0.0196341,,,,
298.15,530,4,0.0199213,,,,
298.15,600,4,0.0205,,,,
323.15,0,0,0.00E+00,,,,
323.15,15,0,0.007045,,,,
323.15,28,0,0.011,,,,
323.15,35,0,0.0137347,,,,
323.15,50,0,0.019,,,,
323.15,65,0,0.022,,,,
323.15,100,0,0.0271711,,,,
323.15,150,0,0.0300082,,,,
323.15,220,0,0.0318089,,,,
323.15,280,0,0.0334016,,,,
323.15,330,0,0.0347877,,,,
323.15,400,0,0.0358783,,,,
323.15,460,0,0.0369,,,,
323.15,530,0,0.0378517,,,,
323.15,600,0,0.0388528,,,,
323.15,0,1,0.00E+00,,,,
323.15,15,1,0.0045,,,,
323.15,28,1,0.008,,,,
323.15,35,1,0.0102413,,,,
323.15,50,1,0.015,,,,
323.15,65,1,0.0179956,,,,
323.15,100,1,0.0221383,,,,
323.15,150,1,0.0244419,,,,
323.15,220,1,0.026,,,,
323.15,280,1,0.0270659,,,,
323.15,330,1,0.0279493,,,,
323.15,400,1,0.0285376,,,,
323.15,460,1,0.0295,,,,
323.15,530,1,0.0303322,,,,
323.15,600,1,0.031,,,,
323.15,0,2,0.00E+00,,,,
323.15,15,2,0.005,,,,
323.15,28,2,0.008,,,,
323.15,35,2,0.0097,,,,
323.15,50,2,0.013,,,,
323.15,65,2,0.015,,,,
323.15,100,2,0.0181712,,,,
323.15,150,2,0.0199,,,,
323.15,220,2,0.0215,,,,
323.15,280,2,0.0222,,,,
323.15,330,2,0.0229,,,,
323.15,400,2,0.0237,,,,
323.15,460,2,0.0243286,,,,
323.15,530,2,0.0250335,,,,
323.15,600,2,0.0255906,,,,
323.15,0,4,0.00E+00,,,,
323.15,15,4,0.0036,,,,
323.15,28,4,0.0058,,,,
323.15,35,4,0.0074,,,,
323.15,50,4,0.0094,,,,
323.15,65,4,0.0115,,,,
323.15,100,4,0.0137594,,,,
323.15,150,4,0.0150572,,,,
323.15,220,4,0.0163,,,,
323.15,280,4,0.0169,,,,
323.15,330,4,0.0173,,,,
323.15,400,4,0.0177,,,,
323.15,460,4,0.0181394,,,,
323.15,530,4,0.0186367,,,,
323.15,600,4,0.0188991,,,,
348.15,0,0,0.00E+00,,,,
348.15,15,0,0.004,,,,
348.15,28,0,0.0076376,,,,
348.15,35,0,0.009,,,,
348.15,50,0,0.013,,,,
348.15,65,0,0.0157486,,,,
348.15,100,0,0.021343,,,,
348.15,150,0,0.0267587,,,,
348.15,220,0,0.0302785,,,,
348.15,280,0,0.0319637,,,,
348.15,330,0,0.0332938,,,,
348.15,400,0,0.0348898,,,,
348.15,460,0,0.0361305,,,,
348.15,530,0,0.0371646,,,,
348.15,600,0,0.038,,,,
348.15,0,1,0.00E+00,,,,
348.15,15,1,0.003,,,,
348.15,28,1,0.0067,,,,
348.15,35,1,0.0085,,,,
348.15,50,1,0.0125,,,,
348.15,65,1,0.015,,,,
348.15,100,1,0.019,,,,
348.15,150,1,0.0222584,,,,
348.15,220,1,0.0242,,,,
348.15,280,1,0.026,,,,
348.15,330,1,0.027195,,,,
348.15,400,1,0.0286425,,,,
348.15,460,1,0.0296,,,,
348.15,530,1,0.0306,,,,
348.15,600,1,0.0315951,,,,
348.15,0,2,0.00E+00,,,,
348.15,15,2,0.003,,,,
